stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,level,correctAns,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0346058,,0.0180405,0.0346058,0.5033511,0.5033511,0.5359089,0.8185085,1.6825021,-10,left,1,1.1096035,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
1,2,1,1.7007762,,1.682644,1.7007762,2.1851136,2.1851136,2.2021899,2.4854038,2.9549076,1,right,1,0.7644553,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
2,1,1,2.9696913,,2.9552079,2.9696913,3.4715075,3.4715075,3.4715075,3.7709055,4.6207145,-1,left,0,1.1465524,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
3,1,10,4.6359186,,4.6209676,4.6359186,5.1195774,5.1195774,5.1362736,5.4205967,5.6351761,-10,left,1,0.5002904,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
4,1,10,5.6510354,,5.6353234,5.6510354,6.1340074,6.1340074,6.1511843,6.4376136,6.6057896,-10,left,1,0.4671856,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
5,1,10,6.6199045,,6.6061081,6.6199045,7.1200727,7.1200727,7.1200727,7.4219801,7.5195754,10,right,1,0.3964433,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
6,0.5,1,7.5363199,,7.5199555,7.5363199,8.0196546,8.0196546,8.0365078,8.3347293,8.4350669,1,right,0,0.4102262,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
7,0.5,3.16227766,8.4512349,,8.4353195,8.4512349,8.9367858,8.9367858,8.9539065,9.2368449,9.6707725,3.16227766,right,1,0.7277725,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
8,0.5,3.16227766,9.6863513,,9.6710624,9.6863513,10.1696527,10.1696527,10.1853399,10.469436,10.7006707,3.16227766,right,1,0.5211971,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
9,0.5,3.16227766,10.7181855,,10.7008553,10.7181855,11.202718,11.202718,11.2196858,11.5022876,11.684844,3.16227766,right,1,0.4795867,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
10,0.5,1,11.7014084,,11.6851123,11.7014084,12.1863643,12.1863643,12.2016542,12.4860521,12.8350955,1,right,0,0.6377786,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
11,0.5,3.16227766,12.8521638,,12.8354119,12.8521638,13.3354767,13.3354767,13.3519128,13.6364593,13.7868751,-3.16227766,left,1,0.4459583,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
12,0.5,3.16227766,13.801473,,13.7871764,13.801473,14.2865033,14.2865033,14.3035976,14.5853776,14.7362623,-3.16227766,left,1,0.4346732,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
13,0.5,3.16227766,14.7521657,,14.7365694,14.7521657,15.2353205,15.2353205,15.2531546,15.5344304,15.9683002,3.16227766,right,1,0.727281,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
14,0.5,1,15.9858966,,15.9686398,15.9858966,16.4690369,16.4690369,16.4866317,16.769616,17.2360281,-1,left,1,0.7557668,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
15,0.5,1,17.2521994,,17.2363088,17.2521994,17.7352025,17.7352025,17.7528652,18.0356021,18.6182006,-1,left,1,0.8743747,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
16,0.5,1,18.6340882,,18.6185169,18.6340882,19.118434,19.118434,19.1355442,19.4182655,19.6690765,1,right,1,0.5464391,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
17,0.5,1,19.6858819,,19.669385,19.6858819,20.1685842,20.1685842,20.1861265,20.4853435,20.8191659,1,right,1,0.6354044,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
18,0.5,1,20.8340513,,20.8195081,20.8340513,21.3350238,21.3350238,21.3350238,21.6349198,22.0362903,-1,left,1,0.7006039,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
19,0.5,1,22.0510219,,22.0365467,22.0510219,22.5516511,22.5516511,22.5516511,22.8517119,23.4180174,-1,left,1,0.8586348,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
20,0.5,1,23.4338818,,23.4183157,23.4338818,23.9170763,23.9170763,23.9338309,24.2180997,24.4021505,1,right,1,0.4822124,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
21,0.5,1,24.4174499,,24.4024141,24.4174499,24.9177328,24.9177328,24.9177328,25.2173474,25.7349162,-1,left,1,0.8034349,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
22,0.5,1,25.7506466,,25.7352626,25.7506466,26.2500545,26.2500545,26.2676573,26.5509893,26.7674626,1,right,1,0.5120492,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
23,0.5,1,26.7845652,,26.7677792,26.7845652,27.2677477,27.2677477,27.2845768,27.5676752,28.2856642,-1,left,0,1.0128089,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
24,0.5,3.16227766,28.3002621,,28.2860048,28.3002621,28.799656,28.799656,28.799656,29.0998723,29.1848733,3.16227766,right,0,0.3709192,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
25,0.5,10,29.2000968,,29.1853167,29.2000968,29.6840119,29.6840119,29.700962,29.9840914,30.3691515,10,right,1,0.6839901,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
26,0.5,10,30.3835854,,30.3694156,30.3835854,30.8838,30.8838,30.8838,31.1829173,31.4524105,10,right,1,0.5661216,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
27,0.5,10,31.4667654,,31.452738,31.4667654,31.9670578,31.9670578,31.9670578,32.2669614,32.6496358,-10,left,1,0.6741315,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
28,0.5,3.16227766,32.6663774,,32.6499647,32.6663774,33.150235,33.150235,33.1676163,33.4496244,33.884403,-3.16227766,left,1,0.7201195,62203,1,2025-09-04_22h17.59.920,Adaptive Staircase- task 1,,2025.1.1,60.54859448,2025-09-04 22h18.07.414406 +0530
