thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,down,1,1.0313105999999834,None,-5,0,0,0,0,0.022844899999995505,,0.006413099999974747,0.022844899999995505,1.0084748999999533,1.0244557999999984,2.0485580999999797,down,1,1.0313105999999834,None,-5,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
1,0,1,down,0,0.8837285000000179,None,0,1,0,1,0,2.0714646999999786,,2.048888999999974,2.0714646999999786,3.0549051999999506,3.0712572999999566,3.9423370999999747,down,0,0.8837285000000179,None,0,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
2,0,2,up,0,0.8883565000000431,None,-2,2,0,2,0,3.958417499999996,,3.942774899999961,3.958417499999996,4.95777529999998,4.95777529999998,5.858425199999999,up,0,0.8883565000000431,None,-2,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
3,0,3,up,1,1.3953629999999748,None,0,3,0,3,0,5.8727649999999585,,5.858839699999976,5.8727649999999585,6.870952599999953,6.887677199999985,8.271790399999986,up,1,1.3953629999999748,None,0,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
4,0,4,down,1,3.0058487000000014,None,-4,4,0,4,0,8.28916449999997,,8.272052499999972,8.28916449999997,9.272823499999959,9.29006819999995,12.291161199999976,down,1,3.0058487000000014,None,-4,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
5,0,5,down,0,1.0069512000000032,None,0,5,0,5,0,12.306213999999954,,12.291760499999953,12.306213999999954,13.305911399999957,13.305911399999957,14.3230729,down,0,1.0069512000000032,None,0,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
6,0,6,down,0,0.9927776999999764,None,0,6,0,6,0,14.34014499999995,,14.323532,14.34014499999995,15.337634399999956,15.354663200000005,16.338475399999993,down,0,0.9927776999999764,None,0,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
7,0,7,down,1,0.7145583999999872,None,4,7,0,7,0,16.35559189999998,,16.338998299999957,16.35559189999998,17.338454999999954,17.354950499999973,18.055814899999973,down,1,0.7145583999999872,None,4,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
8,0,8,down,1,0.47487080000001924,None,4,8,0,8,0,18.07189139999997,,18.05633869999997,18.07189139999997,19.0693306,19.085663399999987,19.553131199999996,down,1,0.47487080000001924,None,4,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
9,0,9,down,1,0.5491122000000246,None,1,9,0,9,0,19.570795599999997,,19.553426799999954,19.570795599999997,20.55722929999996,20.573520599999995,21.122132299999976,down,1,0.5491122000000246,None,1,182779,001,2025-09-11_21h26.47.923,Orientation Discrimination- task 2,,2025.1.1,59.80911323419955,2025-09-11 21h26.51.283120 +0530,
