thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(-0.4351851851851852)],[np.float64(-0.17777777777777778)],[1],[0],[0],[5.1376428000075975],['target'],0,0,0,0,0.0288477,,5,0.0184253,0.0288477,0.0288477,0.0184553,5.1561108,[np.float64(-0.4351851851851852)],[np.float64(-0.17777777777777778)],[1],[0],[0],[5.1376428000075975],['target'],748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
1,0,1,[np.float64(-0.09537037037037037)],[np.float64(-0.05185185185185185)],[1],[0],[0],[1.3956605999992462],['target'],1,0,1,0,5.190823,,10,5.175653,5.190823,5.190823,0.0194818,6.5714077,[np.float64(-0.09537037037037037)],[np.float64(-0.05185185185185185)],[1],[0],[0],[1.3956605999992462],['target'],748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
2,0,2,[np.float64(-0.4703703703703704)],[np.float64(-0.4981481481481482)],[1],[0],[0],[2.3578428000037093],['target'],2,0,2,0,6.610549,,10,6.5974468,6.610549,6.610549,0.0258606,8.9553459,[np.float64(-0.4703703703703704)],[np.float64(-0.4981481481481482)],[1],[0],[0],[2.3578428000037093],['target'],748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
3,0,3,[np.float64(-0.008333333333333333)],[np.float64(-0.3638888888888889)],[1],[0],[0],[1.8138136999914423],['target'],3,0,3,0,8.9822017,,5,8.9728788,8.9822017,8.9822017,0.0173693,10.7867228,[np.float64(-0.008333333333333333)],[np.float64(-0.3638888888888889)],[1],[0],[0],[1.8138136999914423],['target'],748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
4,0,4,[np.float64(-0.22407407407407406)],[np.float64(0.11388888888888889)],[1],[0],[0],[1.9757212999975309],['target'],4,0,4,0,10.8023742,,5,10.7941953,10.8023742,10.8023742,0.0073946,12.769962,[np.float64(-0.22407407407407406)],[np.float64(0.11388888888888889)],[1],[0],[0],[1.9757212999975309],['target'],748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
5,0,5,"[np.float64(0.3712962962962963), np.float64(0.3712962962962963), np.float64(0.3712962962962963), np.float64(0.3675925925925926)]","[np.float64(0.05185185185185185), np.float64(0.05185185185185185), np.float64(0.05185185185185185), np.float64(0.05185185185185185)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.684637800004566, 2.3992585000087274, 2.666386800003238, 3.3496291000046767]","[None, None, None, 'target']",5,0,5,0,12.7958724,,10,12.7873454,12.7958724,12.7958724,0.0173077,16.1370811,"[np.float64(0.3712962962962963), np.float64(0.3712962962962963), np.float64(0.3712962962962963), np.float64(0.3675925925925926)]","[np.float64(0.05185185185185185), np.float64(0.05185185185185185), np.float64(0.05185185185185185), np.float64(0.05185185185185185)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.684637800004566, 2.3992585000087274, 2.666386800003238, 3.3496291000046767]","[None, None, None, 'target']",748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
6,0,6,"[np.float64(-0.39537037037037037), np.float64(-0.39537037037037037), np.float64(-0.39351851851851855)]","[np.float64(-0.4009259259259259), np.float64(-0.4009259259259259), np.float64(-0.40555555555555556)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.661665499996161, 3.727570499991998, 4.509583199993358]","[None, None, 'target']",6,0,6,0,16.1673145,,10,16.1593648,16.1673145,16.1673145,0.0219606,20.6690359,"[np.float64(-0.39537037037037037), np.float64(-0.39537037037037037), np.float64(-0.39351851851851855)]","[np.float64(-0.4009259259259259), np.float64(-0.4009259259259259), np.float64(-0.40555555555555556)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.661665499996161, 3.727570499991998, 4.509583199993358]","[None, None, 'target']",748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
7,0,7,[np.float64(-0.23055555555555557)],[np.float64(-0.43148148148148147)],[1],[0],[0],[1.583675600006245],['target'],7,0,7,0,20.6926337,,5,20.6866404,20.6926337,20.6926337,0.0173564,22.2704896,[np.float64(-0.23055555555555557)],[np.float64(-0.43148148148148147)],[1],[0],[0],[1.583675600006245],['target'],748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
8,0,8,[np.float64(-0.4185185185185185)],[np.float64(0.33425925925925926)],[1],[0],[0],[3.214848900010111],['target'],8,0,8,0,22.3122598,,10,22.3031126,22.3122598,22.3122598,0.0323607,25.5180417,[np.float64(-0.4185185185185185)],[np.float64(0.33425925925925926)],[1],[0],[0],[3.214848900010111],['target'],748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
9,0,9,[np.float64(0.41944444444444445)],[np.float64(0.33425925925925926)],[1],[0],[0],[1.9684446000028402],['target'],9,0,9,0,25.5449812,,5,25.5361131,25.5449812,25.5449812,0.0178768,27.5047298,[np.float64(0.41944444444444445)],[np.float64(0.33425925925925926)],[1],[0],[0],[1.9684446000028402],['target'],748860,1,2025-10-02_03h59.21.233,untitled,,2025.1.1,60.07987018,2025-10-02 03h59.25.362581 +0530
