pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.7975942,None,0,0,0,0,,,,,0.0451199,,0.0224324,0.0451199,1.0122432,1.0122432,1.0122432,1.0122432,1.045363,2.0136031,2.0136031,2.8955559,x,1,0.7975942,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
150,v,1,1,0,v,1,0.5078329,None,0,1,1,1,,,,,2.9101229,,2.8957546,2.9101229,3.8945363,3.8945363,3.8945363,3.8945363,3.9114214,4.8967622,4.8967622,5.4120758,v,1,0.5078329,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
50,c,2,2,0,c,1,0.4733385,None,0,2,2,2,,,,,5.428108,,5.4122788,5.428108,6.4135344,6.4135344,6.4135344,6.4135344,6.4298053,7.4124339,7.4124339,7.8968317,c,1,0.4733385,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
-150,z,3,3,0,z,1,0.536219,None,0,3,3,3,,,,,7.9131824,,7.8974068,7.9131824,8.9118368,8.9118368,8.9118368,8.9118368,8.92852,9.8961362,9.8961362,10.4475076,z,1,0.536219,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
-50,x,4,0,1,x,1,0.3054182,None,1,0,4,0,,,,,10.4627007,,10.4482161,10.4627007,11.4617355,11.4617355,11.4617355,11.4617355,11.4779928,12.4642607,12.4642607,12.7792331,x,1,0.3054182,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
150,v,5,1,1,v,1,0.446401,None,1,1,5,1,,,,,12.7945103,,12.7799134,12.7945103,13.7784532,13.7784532,13.7784532,13.7784532,13.7957895,14.7786832,14.7786832,15.2316995,v,1,0.446401,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
50,c,6,2,1,c,1,0.330066,None,1,2,6,2,,,,,15.2445725,,15.2326197,15.2445725,16.2456054,16.2456054,16.2456054,16.2456054,16.2456054,17.2444001,17.2444001,17.5805146,c,1,0.330066,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
-150,z,7,3,1,z,1,0.335676,None,1,3,7,3,,,,,17.5942034,,17.5811621,17.5942034,18.5951764,18.5951764,18.5951764,18.5951764,18.5951764,19.5950836,19.5950836,19.9443515,z,1,0.335676,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
-50,x,8,0,2,x,1,0.4001461,None,2,0,8,0,,,,,19.9609041,,19.9449828,19.9609041,20.944826,20.944826,20.944826,20.944826,20.961271,21.9438005,21.9438005,22.3605778,x,1,0.4001461,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
150,v,9,1,2,v,1,0.4494184,None,2,1,9,1,,,,,22.3764955,,22.3612655,22.3764955,23.3610796,23.3610796,23.3610796,23.3610796,23.3779747,24.3605841,24.3605841,24.8162752,v,1,0.4494184,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
50,c,10,2,2,c,1,0.3338363,None,2,2,10,2,,,,,24.8263325,,24.8168845,24.8263325,25.8282394,25.8282394,25.8282394,25.8282394,25.8282394,26.8269537,26.8269537,27.1786484,c,1,0.3338363,None,,,,,791104,1,2025-10-04_09h08.08.244,sequential_learning_ task 4,,2025.1.1,60.54749465,2025-10-04 09h08.12.821121 +0530
