study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,Ma_b_e,Marble,old,Marble,[np.float64(0.013888888888888888)],[np.float64(-0.29074074074074074)],[1],[0],[0],[4.850775699946098],['text_3'],,,,,0,0,0,12,14.8955387,,,,,,,,14.8895876,14.8955387,14.8955387,14.8955387,0.0323095,19.7406795,Marble,[np.float64(0.013888888888888888)],[np.float64(-0.29074074074074074)],[1],[0],[0],[4.850775699946098],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
,1,1,0,,,_o_se,Mouse,old,,[np.float64(0.013888888888888888)],[np.float64(-0.29074074074074074)],[1],[0],[0],[9.260248800041154],['text_3'],,,,,0,1,1,3,19.7551733,,,,,,,,19.745293,19.7551733,19.7551733,19.7551733,0.0044266,29.0059998,,[np.float64(0.013888888888888888)],[np.float64(-0.29074074074074074)],[1],[0],[0],[9.260248800041154],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
,2,2,0,,,_ha_t,chart,old,Chart,[np.float64(0.013888888888888888)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.2286208999576047],['text_3'],,,,,0,2,2,1,29.021458,,,,,,,,29.0117303,29.021458,29.021458,29.021458,0.0054616,32.2407458,Chart,[np.float64(0.013888888888888888)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.2286208999576047],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
,3,3,0,,,C_m_ra,Camera,new,Camera,[np.float64(0.013888888888888888)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.593515800079331],['text_3'],,,,,0,3,3,20,32.255136,,,,,,,,32.2454182,32.255136,32.255136,32.255136,0.0044969,35.8393344,Camera,[np.float64(0.013888888888888888)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.593515800079331],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
,4,4,0,,,T_bl_,Table,new,Table,[np.float64(0.044444444444444446)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.664695000043139],['text_3'],,,,,0,4,4,16,35.8537587,,,,,,,,35.8442822,35.8537587,35.8537587,35.8537587,0.0047358,39.5093639,Table,[np.float64(0.044444444444444446)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.664695000043139],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
,5,5,0,,,P_st_y,Pastry,old,Pastry,[np.float64(0.04814814814814815)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.0884931000182405],['text_3'],,,,,0,5,5,4,39.5252003,,,,,,,,39.5164454,39.5252003,39.5252003,39.5252003,0.0068815,42.6052932,Pastry,[np.float64(0.04814814814814815)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.0884931000182405],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
,6,6,0,,,L_pt_p,laptop,old,Laptop,[np.float64(0.053703703703703705)],[np.float64(-0.30648148148148147)],[1],[0],[0],[3.526730600045994],['text_3'],,,,,0,6,6,0,42.6215046,,,,,,,,42.6120813,42.6215046,42.6215046,42.6215046,0.0066459,46.1392205,Laptop,[np.float64(0.053703703703703705)],[np.float64(-0.30648148148148147)],[1],[0],[0],[3.526730600045994],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
,7,7,0,,,Sl_e_e,Sleeve,new,Sleve,[np.float64(0.053703703703703705)],[np.float64(-0.30648148148148147)],[1],[0],[0],[4.324577599996701],['text_3'],,,,,0,7,7,21,46.1556115,,,,,,,,46.1451054,46.1556115,46.1556115,46.1556115,0.0056933,50.4702235,Sleve,[np.float64(0.053703703703703705)],[np.float64(-0.30648148148148147)],[1],[0],[0],[4.324577599996701],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
,8,8,0,,,B_a_d,Board,old,Board,[np.float64(0.06018518518518518)],[np.float64(-0.30648148148148147)],[1],[0],[0],[3.3400996000273153],['text_3'],,,,,0,8,8,10,50.4890499,,,,,,,,50.4786779,50.4890499,50.4890499,50.4890499,0.008144,53.8193172,Board,[np.float64(0.06018518518518518)],[np.float64(-0.30648148148148147)],[1],[0],[0],[3.3400996000273153],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
,9,9,0,,,M_us_,Mouse,new,Mouse,[np.float64(0.06018518518518518)],[np.float64(-0.30648148148148147)],[1],[0],[0],[6.432141300057992],['text_3'],,,,,0,9,9,11,53.8342934,,,,,,,,53.8246466,53.8342934,53.8342934,53.8342934,0.0050963,60.2572233,Mouse,[np.float64(0.06018518518518518)],[np.float64(-0.30648148148148147)],[1],[0],[0],[6.432141300057992],['text_3'],866522,1,2025-11-20_12h37.20.488,word priming,,2025.1.1,59.82976039,2025-11-20 12h37.28.206420 +0530
