flankers,target,congruency
<<<<<,<,congruent
<<<<<,<,congruent
>><>>,>,incongruent
<<><<,<,incongruent
<<><<,<,incongruent
<<><<,<,incongruent
>><>>,>,incongruent
<<<<<,<,congruent
<<<<<,<,congruent
<<<<<,<,congruent
>>>>>,>,congruent
<<<<<,<,congruent
<<<<<,<,congruent
>><>>,>,incongruent
<<<<<,<,congruent
>><>>,>,incongruent
>><>>,>,incongruent
>><>>,>,incongruent
<<><<,<,incongruent
<<<<<,<,congruent
<<><<,<,incongruent
<<><<,<,incongruent
>>>>>,>,congruent
>>>>>,>,congruent
<<><<,<,incongruent
>>>>>,>,congruent
>>>>>,>,congruent
<<<<<,<,congruent
<<<<<,<,congruent
<<<<<,<,congruent
<<><<,<,incongruent
>>>>>,>,congruent
<<<<<,<,congruent
<<><<,<,incongruent
>><>>,>,incongruent
<<<<<,<,congruent
>>>>>,>,congruent
<<<<<,<,congruent
>><>>,>,incongruent
<<><<,<,incongruent
<<<<<,<,congruent
>>>>>,>,congruent
<<<<<,<,congruent
<<<<<,<,congruent
<<><<,<,incongruent
<<><<,<,incongruent
<<><<,<,incongruent
<<><<,<,incongruent
>>>>>,>,congruent
>>>>>,>,congruent
>>>>>,>,congruent
<<<<<,<,congruent
>><>>,>,incongruent
<<><<,<,incongruent
<<><<,<,incongruent
<<<<<,<,congruent
>><>>,>,incongruent
<<<<<,<,congruent
>><>>,>,incongruent
<<<<<,<,congruent
>>>>>,>,congruent
<<<<<,<,congruent
>><>>,>,incongruent
<<<<<,<,congruent
<<><<,<,incongruent
<<><<,<,incongruent
>><>>,>,incongruent
>><>>,>,incongruent
<<><<,<,incongruent
>><>>,>,incongruent
<<<<<,<,congruent
>>>>>,>,congruent
>>>>>,>,congruent
<<<<<,<,congruent
>>>>>,>,congruent
>>>>>,>,congruent
>><>>,>,incongruent
>>>>>,>,congruent
<<<<<,<,congruent
>>>>>,>,congruent
<<><<,<,incongruent
>>>>>,>,congruent
>><>>,>,incongruent
>>>>>,>,congruent
<<<<<,<,congruent
<<<<<,<,congruent
>><>>,>,incongruent
<<><<,<,incongruent
>>>>>,>,congruent
>><>>,>,incongruent
>>>>>,>,congruent
>><>>,>,incongruent
>><>>,>,incongruent
>><>>,>,incongruent
>>>>>,>,congruent
<<><<,<,incongruent
>><>>,>,incongruent
<<><<,<,incongruent
<<<<<,<,congruent
>><>>,>,incongruent
